Frequency (Hz),Amplitude
0.0,1854170.8223710312
1.5945911468299526e-08,24727.364668508195
3.189182293659905e-08,509730.48227343505
4.783773440489858e-08,11218.9650484847
6.37836458731981e-08,27377.251985773415
7.972955734149763e-08,33400.997898066846
9.567546880979716e-08,62505.730543702666
1.1162138027809669e-07,1028.0759045580967
1.275672917463962e-07,27140.39626502884
1.4351320321469574e-07,16671.768075622753
1.5945911468299526e-07,34495.92344872358
1.754050261512948e-07,23680.610629541243
1.9135093761959432e-07,15895.731296268918
2.0729684908789384e-07,16225.377733396179
2.2324276055619337e-07,35685.375659018864
2.3918867202449287e-07,13259.4117495775
2.551345834927924e-07,11808.624600717581
2.71080494961092e-07,17433.51084776156
2.870264064293915e-07,11362.66968696016
3.02972317897691e-07,18272.885224729656
3.1891822936599053e-07,21469.222350678287
3.348641408342901e-07,18212.13987354227
3.508100523025896e-07,6729.133201363047
3.667559637708891e-07,16424.46989413095
3.8270187523918864e-07,25459.75754104087
3.986477867074882e-07,13197.028418360384
4.145936981757877e-07,22408.759442468432
4.305396096440872e-07,11168.562099233823
4.4648552111238674e-07,5364.46028621281
4.624314325806863e-07,26300.48090383996
4.783773440489857e-07,25147.236827865345
4.943232555172853e-07,7480.924751145077
5.102691669855848e-07,39447.34620787263
5.262150784538844e-07,14000.074249048099
5.42160989922184e-07,11290.190521528455
5.581069013904834e-07,28688.783140126823
5.74052812858783e-07,17960.347075518315
5.899987243270825e-07,8504.720159140208
6.05944635795382e-07,12567.19654418353
6.218905472636815e-07,20248.57560739354
6.378364587319811e-07,13614.150550486424
6.537823702002806e-07,15092.463698059933
6.697282816685802e-07,12499.182660090666
6.856741931368796e-07,21643.64076621902
7.016201046051792e-07,30977.268129346772
7.175660160734787e-07,436.5516204169215
7.335119275417782e-07,25728.889979805317
7.494578390100777e-07,20515.501591902164
7.654037504783773e-07,20004.35946417591
7.813496619466768e-07,16432.67577123328
7.972955734149764e-07,26693.899347923834
8.132414848832758e-07,9983.37200977547
8.291873963515754e-07,12596.888748389314
8.451333078198749e-07,17786.013020955575
8.610792192881744e-07,7345.455374071977
8.770251307564739e-07,12455.78518365228
8.929710422247735e-07,24179.344945060417
9.08916953693073e-07,25914.005637457405
9.248628651613726e-07,3777.3219688329823
9.40808776629672e-07,9436.665211328504
9.567546880979715e-07,8881.898812290474
9.727005995662711e-07,16509.26096046096
9.886465110345706e-07,15644.938897394713
1.0045924225028702e-06,22030.01891157591
1.0205383339711697e-06,21220.932104628333
1.0364842454394691e-06,22046.323808042802
1.0524301569077688e-06,8302.862741695128
1.0683760683760682e-06,29403.6621342412
1.084321979844368e-06,728.2390250195131
1.1002678913126674e-06,10543.66404049951
1.1162138027809668e-06,15746.446310328702
1.1321597142492665e-06,19343.98302594712
1.148105625717566e-06,15999.838554575399
1.1640515371858654e-06,11864.85951370344
1.179997448654165e-06,2696.841961098562
1.1959433601224645e-06,21008.724347119616
1.211889271590764e-06,17703.492760618345
1.2278351830590636e-06,6238.579073298227
1.243781094527363e-06,28983.42562131933
1.2597270059956627e-06,24150.54372263942
1.2756729174639621e-06,11310.798104680991
1.2916188289322616e-06,17783.555345409888
1.3075647404005612e-06,5714.492491488469
1.3235106518688607e-06,18241.89289743083
1.3394565633371603e-06,6269.559889637489
1.3554024748054598e-06,6077.861550413424
1.3713483862737592e-06,8266.715141142786
1.3872942977420589e-06,5662.00267998569
1.4032402092103583e-06,18215.875504059786
1.4191861206786578e-06,8970.70255675466
1.4351320321469574e-06,22580.28137172121
1.4510779436152569e-06,3677.6134371022217
1.4670238550835563e-06,9351.48111309743
1.482969766551856e-06,15044.919874814148
1.4989156780201554e-06,13503.822321942991
1.514861589488455e-06,5579.967336500258
1.5308075009567545e-06,20969.568538126747
1.546753412425054e-06,4465.643580279997
1.5626993238933536e-06,2678.58977334155
1.578645235361653e-06,13136.045303587223
1.5945911468299528e-06,9552.888828614019
1.6105370582982522e-06,9452.313070875143
1.6264829697665516e-06,17206.863566572876
1.6424288812348513e-06,15221.192004164763
1.6583747927031508e-06,11588.670248039256
1.6743207041714502e-06,16809.872595607136
1.6902666156397499e-06,9421.686091363119
1.7062125271080493e-06,9410.59166092116
1.7221584385763488e-06,15556.094039342695
1.7381043500446484e-06,5240.564944794732
1.7540502615129479e-06,2314.0267257537207
1.7699961729812475e-06,4055.982668199468
1.785942084449547e-06,20582.043743991406
1.8018879959178464e-06,5161.306199852006
1.817833907386146e-06,14369.391924658674
1.8337798188544455e-06,13226.890848616538
1.8497257303227452e-06,4838.989735668639
1.8656716417910446e-06,11050.436486442659
1.881617553259344e-06,9602.440138706685
1.8975634647276437e-06,15608.57303607362
1.913509376195943e-06,14176.92855873342
1.929455287664243e-06,12886.533915708986
1.9454011991325423e-06,4805.088843816065
1.9613471106008417e-06,15441.409200855649
1.977293022069141e-06,6597.742509238942
1.9932389335374406e-06,2070.2529083261416
2.0091848450057405e-06,14837.507389896415
2.02513075647404e-06,14586.107896835183
2.0410766679423394e-06,13287.481871558628
2.057022579410639e-06,5438.899971200027
2.0729684908789383e-06,5348.0485633737135
2.088914402347238e-06,17717.678571783246
2.1048603138155376e-06,7189.1328972430665
2.120806225283837e-06,12884.474338353319
2.1367521367521365e-06,5800.10948452752
2.152698048220436e-06,7618.096838743349
2.168643959688736e-06,2933.645857034709
2.1845898711570353e-06,7489.756004117263
2.2005357826253347e-06,8082.139479525281
2.216481694093634e-06,3254.460399829239
2.2324276055619336e-06,9015.588409502277
2.248373517030233e-06,4188.094854647805
2.264319428498533e-06,5468.045475113467
2.2802653399668324e-06,11253.683026960885
2.296211251435132e-06,10456.388032798579
2.3121571629034313e-06,2190.0238416715956
2.3281030743717307e-06,10170.873123386793
2.3440489858400306e-06,5851.516358942653
2.35999489730833e-06,4181.488573490735
2.3759408087766295e-06,8085.962683782876
2.391886720244929e-06,12089.35042299456
2.4078326317132284e-06,6097.203318121242
2.423778543181528e-06,6635.356825081863
2.4397244546498277e-06,7377.8247424589745
2.455670366118127e-06,18331.618284792756
2.4716162775864266e-06,14163.355123549753
2.487562189054726e-06,4075.444669582796
2.5035081005230255e-06,11527.328287082026
2.5194540119913253e-06,2919.911726255759
2.535399923459625e-06,1683.6239922059285
2.5513458349279242e-06,3704.543485008338
2.5672917463962237e-06,13314.273934452485
2.583237657864523e-06,4685.708834048851
2.599183569332823e-06,11269.686031799374
2.6151294808011224e-06,3867.460793957732
2.631075392269422e-06,9462.406407468565
2.6470213037377213e-06,7744.228729981313
2.662967215206021e-06,7582.510574277378
2.6789131266743207e-06,3526.7707740407973
2.69485903814262e-06,12638.74088927923
2.7108049496109196e-06,8188.382526806322
2.726750861079219e-06,22275.23204767448
2.7426967725475184e-06,7495.93693260921
2.758642684015818e-06,12980.561661773861
2.7745885954841178e-06,2054.2923482674855
2.7905345069524172e-06,1827.2347631093044
2.8064804184207167e-06,3631.5932403036086
2.822426329889016e-06,4925.606059819547
2.8383722413573156e-06,125.31587228530356
2.8543181528256154e-06,3883.0214791204708
2.870264064293915e-06,5113.774065577256
2.8862099757622143e-06,3849.553768862056
2.9021558872305138e-06,5789.372522302318
2.9181017986988132e-06,1592.0844050186734
2.9340477101671127e-06,2771.3505989579457
2.9499936216354125e-06,4041.2115095863737
2.965939533103712e-06,5890.118214486921
2.9818854445720114e-06,4848.913006959135
2.997831356040311e-06,3868.055792255182
3.0137772675086103e-06,839.6121166802941
3.02972317897691e-06,6382.188291918454
3.0456690904452096e-06,9305.44939126745
3.061615001913509e-06,5867.959884408484
3.0775609133818085e-06,3577.321300829576
3.093506824850108e-06,5947.0302171022
3.109452736318408e-06,10271.387068782738
3.1253986477867073e-06,3454.8523396818814
3.1413445592550067e-06,4141.640033420969
3.157290470723306e-06,5232.891824849018
3.1732363821916056e-06,4989.557723047786
3.1891822936599055e-06,14630.136083842697
3.205128205128205e-06,6748.002583417
3.2210741165965044e-06,4253.369859482635
3.237020028064804e-06,15473.016598259725
