,tract_fips,county,state,state_fips,cnty_fips,ep_pov,ep_unem,ep_pci,ep_nohs,ep_sngp,ep_lime,ep_crow,ep_nove,rent_1,rntov30p_1,ep_unin,ep_minrty,ep_age65,ep_age17,ep_disabl,1_SES,2_MOB,3_URB,4_MICA,SDOH_CL,latitude,longitude
0,36071000100,Orange,New York,36,071,16.3,7.3,19562.0,21.2,14.7,8.3,3.2,16.1,49,50.3,13.2,63.0,8.1,22.8,7.7,-1.3608142,0.6176796,1.557704,0.88919,6,41.5144445502305,-74.01595788768344
1,36119002700,Westchester,New York,36,119,33.7,15.9,17754.0,13.6,34.7,0.8,16.2,33.8,71,55.3,10.0,99.4,7.8,35.5,10.4,-4.4735991,0.4092996,1.1103042,3.3036732,4,40.902507938454235,-73.83079235843853
2,36121970500,Wyoming,New York,36,121,16.3,8.3,26787.0,20.1,8.2,0.5,0.8,9.6,43,5.4,11.3,5.0,21.2,18.4,11.3,0.9265307,-0.7074402,-0.0913923,-0.3624347,1,42.739046579743594,-78.13208396356873
3,37017950100,Sampson,North Carolina,37,163,27.0,11.1,22591.0,26.1,12.0,2.3,0.0,8.0,24,31.7,11.6,31.0,17.2,17.4,21.8,-0.2995351,-1.9858342,-0.2334677,-0.2431781,1,34.62728335562001,-78.41610277267449
4,37021000100,Buncombe,North Carolina,37,021,33.3,8.9,33780.0,16.1,1.7,0.7,4.0,42.2,82,11.8,18.2,25.5,20.4,3.6,27.0,-0.6140967,-3.7284058,2.6069229,-0.5219524,7,35.594898010421105,-82.5531655852208
5,37025042603,Mecklenburg,North Carolina,37,119,7.0,8.8,31030.0,7.5,8.9,0.3,0.6,4.6,16,11.9,6.4,18.4,11.0,26.0,9.2,1.6183938,0.7769105,-0.6975831,0.7153485,3,35.35284187428658,-80.65371753232128
6,37027031403,Caldwell,North Carolina,37,027,23.9,7.9,19812.0,25.6,9.7,0.3,0.0,3.8,35,15.3,12.5,2.3,16.3,21.0,18.6,0.3018135,-1.2599602,-0.9283447,-0.3266376,1,35.818324110582,-81.45190867690629
7,37039930400,Cherokee,North Carolina,37,039,21.8,6.2,19007.0,17.1,7.8,0.4,1.7,5.7,20,15.5,20.6,10.8,22.5,25.0,14.8,0.5334401,-0.7352314,-0.9909418,-0.8442959,1,35.11760922122723,-83.96442661858966
8,37045951000,Cleveland,North Carolina,37,045,33.8,24.2,22096.0,15.6,24.1,0.0,4.3,15.1,45,20.1,12.0,47.4,16.0,27.6,18.5,-2.1060013,-1.6358916,-1.0663677,1.714203,4,35.29058860382186,-81.52591607457491
9,37051003314,Cumberland,North Carolina,37,051,17.6,16.8,21636.0,7.8,15.5,0.8,1.5,3.4,42,4.2,11.9,68.8,4.6,29.0,13.7,-0.7796823,0.4889442,-1.4162243,1.629677,3,35.04565430717006,-79.04954647789002
