Time,DATE_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD,ALT_QNH,RALT1,GS,IAS,VRTG,LONG,LATG,IVV,FPA_SEL,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVL,ELEVR,FLAP,SPOIL_R2,SPOIL_R3,SPOIL_R5,TAT,VIB_N1FNT1,VIB_N1FNT2,VIB_N2FNT1,VIB_N2FNT2,EGT1,EGT2,GW,TIME_R,DATE_R
32:53.0,0/0/0,66,ENG. STOP,GROUND,3.4,23.3,60,-27605,1,0,0,0.977,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.4,106,542,66878,8:00:00,0/0/0
32:53.1,0/0/0,66,ENG. STOP,GROUND,3.4,23.3,60,-27605,1,0,0,0.965,-0.012,0,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.4,108,542,66878,8:00:00,0/0/0
32:53.3,0/0/0,66,ENG. STOP,GROUND,3.4,23.3,60,-27605,1,0,0,0.965,-0.012,0,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.4,108,542,66878,8:00:00,0/0/0
32:53.4,0/0/0,66,ENG. STOP,GROUND,3.4,23.3,60,-27605,1,0,0,0.965,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.4,108,542,66878,8:00:00,0/0/0
32:53.5,0/0/0,66,ENG. STOP,GROUND,3.4,23.3,60,-27605,1,0,0,0.965,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0.4,108,542,66878,8:00:00,0/0/0
32:53.6,0/0/0,66,ENG. STOP,GROUND,3.4,23.4,60,-27605,1,0,0,0.965,-0.012,0,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0.2,108,537,66878,8:00:00,0/0/0
32:53.7,0/0/0,66,ENG. STOP,GROUND,3.4,23.4,60,-27605,1,0,0,0.965,-0.012,0,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,10.28,10.9,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0.2,108,537,66878,8:00:00,0/0/0
32:53.9,0/0/0,66,ENG. STOP,GROUND,3.4,23.4,60,-27605,1,0,0,0.965,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,10.28,10.9,0,0,0,0,0,0,0,0,0,23.75,0,0,0,0.2,108,537,66878,8:00:00,0/0/0
32:54.0,2016/1/10,66,ENG. STOP,GROUND,3.4,23.4,60,-27605,1,0,0,0.977,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.2,108,537,66878,8:00:00,2016/1/10
32:54.1,2016/1/10,66,ENG. STOP,GROUND,3.4,23.4,60,-27605,1,0,0,0.965,-0.012,0.0039,0,-368,-0.088,268.95,0,19.9598,ZJHK,ZGSZ,4,277.73,N,NOFALT,0,0,0,0,-0.1,0,0,0,0,0,0,23.75,0,0,0,0.2,110,537,66878,8:00:00,2016/1/10
