Company	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
西部创业	0.0600	2.7591	2.1900	13.1900	1.7200	5.9000	0.1900	0.1300	79.8	68.90
铁龙物流	0.2530	4.0325	6.4380	2.8300	4.0500	3.6300	4.2200	1.4300	59.6	34.52
大秦铁路	0.9000	6.6862	13.5000	23.9900	10.6300	25.5700	0.7700	0.4400	77.9	57.95
广深铁路	0.1400	4.0495	3.5900	5.5400	3.0400	50.1300	0.7700	0.5500	84.4	69.47
渤海轮渡	0.7500	6.7324	11.6700	24.0000	8.8300	25.7900	0.4800	0.3700	73.8	73.88
深圳机场	0.3225	5.4464	6.0500	19.9200	5.1700	438.8200	0.4400	0.2600	85.2	56.39
中信海直	0.1500	4.8626	3.1500	7.1700	1.7300	3.2200	0.4200	0.2400	52.4	52.39
白云机场	0.8200	7.2518	12.2400	23.6000	7.9300	53.2600	0.8700	0.3400	66.6	38.21
上海机场	1.9100	13.0420	15.5300	45.6900	13.5200	206.5300	0.8600	0.3000	91.2	32.88
南方航空	0.6000	4.9161	12.8400	4.6400	2.8200	69.5900	0.8400	0.6100	22.7	72.49
东方航空	0.4391	3.6708	12.6400	6.2500	2.9000	40.7300	0.6500	0.4700	23.4	71.72
海航控股	0.1820	3.1176	5.9100	5.5500	1.9200	376.1000	0.9100	0.3500	29.2	37.45
外运发展	1.4942	9.0350	17.1600	21.8000	14.3100	744.1800	7.1600	0.6600	81.2	9.70
厦门空港	1.3794	11.4402	12.1600	24.7400	9.4100	4,215.4900	0.5400	0.3800	77.0	69.28
中国国航	0.5400	6.2700	8.9600	5.9700	3.1500	62.3700	0.7900	0.5300	36.5	67.15
湖南投资	0.2600	3.2980	8.1900	13.4300	5.8500	0.9800	3.2100	0.4400	79.1	14.83
上港集团	0.4978	2.9984	17.9180	30.8300	8.9400	1.6200	1.1100	0.2900	49.2	23.36
现代投资	0.5700	5.6221	10.5600	8.1700	3.8400	10.8300	4.3900	0.4700	37.1	10.02
富临运业	0.3292	3.4755	9.7900	9.6000	3.6700	240.5200	1.3300	0.3800	40.1	26.77
宜昌交运	0.7570	10.8290	9.0700	5.4400	3.8500	10.1100	3.2900	0.7100	57.9	17.84
中远海能	0.4381	6.9245	6.3844	18.1000	2.9800	13.5500	0.2600	0.1600	46.2	67.73
皖通高速	0.6580	5.6548	12.1200	38.1400	8.0000	186.7900	3.1300	0.2100	66.2	6.66
中原高速	0.4016	4.4024	9.6900	20.0600	2.3800	2.3900	0.3200	0.1200	26.4	35.33
福建高速	0.2391	3.1669	7.6600	26.5200	3.6900	105.3900	0.1600	0.1400	49.3	85.22
长江投资	-0.3000	2.3592	-11.1800	-3.3000	-3.8000	11.6900	7.8700	1.1500	36.2	17.62
山东高速	0.5500	5.5305	10.2900	35.8300	5.4900	0.7800	1.1400	0.1500	52.3	11.27
五洲交通	0.4400	3.9251	11.5700	20.5200	3.3300	0.3600	0.2800	0.1600	30.6	59.43
宁沪高速	0.7122	4.6688	16.0600	37.9400	9.1100	1.4100	5.4400	0.2400	55.3	4.09
锦江投资	0.4490	6.0935	7.4800	10.4500	5.4900	20.5100	2.2100	0.5300	74.0	22.57
交运股份	0.4300	5.4728	8.1300	4.7900	4.9600	8.2100	3.7200	1.0400	63.5	28.00
