地区	x1	x2	x3	x4
 北京	10.3	12.5	2199.9	23965.7
 天津	39.7	69.3	13741.2	35033.6
 河北	118.5	289.7	22003.0	66060.0
 山西	113.4	37.1	17123.6	76671.8
 内蒙古	131.9	66.0	13773.8	83545.5
 辽宁	110.7	106.8	280.0	66970.0
 吉林	161.1	63.7	17415.9	52581.1
 黑龙江	219.0	67.0	39529.3	96279.9
 上海	8.4	205.8	3994.8	40696.6
 江苏	211.1	809.6	52931.7	209347.2
 浙江	129.0	733.2	82227.0	197735.0
 安徽	446.7	290.6	94365.1	174873.6
 福建	118.5	289.7	22003.0	66060.0
 江西	177.7	213.4	1988.0	119086.0
 山东	225.6	137.9	44734.2	116133.1
 河南	531.7	154.1	35843.9	128578.4
 湖北	202.0	169.9	37031.3	134301.9
 湖南	192.4	150.1	24780.2	131453.8
 广东	265.3	198.5	50403.0	211968.6
 广西	184.2	33.2	23699.3	51230.5
 海南	43.4	65.1	7974.0	14541.0
 重庆	175.3	495.3	30159.0	129442.0
 四川	361.1	200.1	19694.1	175764.7
 贵州	305.0	54.7	18811.6	82173.3
 云南	666.6	185.6	64910.9	98821.9
 西藏	12.8	6.5	283.0	21284.9
 陕西	158.5	106.9	129767.5	121812.9
 甘肃	865.3	46.1	68882.7	96338.4
 青海	55.8	16.6	13260.0	36087.8
 宁夏	80.7	44.3	6772.0	21097.0
 新疆	370.6	41.8	66165.7	90300.7
