地区	X1	X2	X3	X4	X5	X6	X7	X8
北京	17837.5	43093.68	19798.13	23272.45	19746.96	1608.26	635.55	104.45
天津	26654.45	25075.09	15385.02	10095.2	25888.2	2046.69	-6.52	146.98
河北	46906.78	44562.88	24449.56	19977.44	47318.6	2815.11	-229.49	367.32
山西	12757.28	33621.95	25579.36	8041.22	14226.45	294.78	92.52	190.72
内蒙古	19884.38	30900.83	19445.75	11370.2	20056.67	1344.41	29.95	120.71
辽宁	21035.9	36106.92	23272.9	12286.17	22038.95	575.39	77.04	228.05
吉林	23412.38	18969.47	9932.67	9022.79	23431.37	1268.49	95.45	143.47
黑龙江	11103.56	14951.92	8399.97	6542.24	11347.77	295.54	7.67	117.4
上海	31056.8	39838.24	19588.27	20004.96	34315.15	2913.91	604.7	215.34
江苏	155820.09	114536.32	59466.56	54939.31	156591.04	10574.4	215.01	1111.84
浙江	66628.47	69468.91	38304.18	30863.45	65453.88	4469.42	326.89	690.3
安徽	42329.72	33563.37	19039.87	14403.25	42190.46	2242.26	45.46	330.49
福建	43309.15	32081.3	16779.94	15169.6	42537.24	2889.26	40.51	421.66
江西	32928.8	21811.92	10549.25	11192.47	35961.32	2443.93	31.24	269.13
山东	148872.26	105046.32	56837.87	47850.6	150641.21	8820.02	189.58	905.76
河南	79404.82	60454.73	28805.88	31347.06	79657.15	5240.61	87.93	724.19
湖北	47295.43	37942.33	20355.9	17502.7	45850.64	2713.46	185.24	343.86
湖南	39319.29	25518.07	13343.81	12171.52	39134.64	2028.59	16.73	336.31
广东	129840.69	105604.17	59318.72	45694.31	129151.31	8383.04	463.62	1435.86
广西	23406.97	16023.46	9825.4	6185.34	22231.3	1393.35	-163.42	174.62
海南	1765.1	2764.18	1538.21	1225.97	1668.92	101.87	10.52	10.87
重庆	23497.42	20214.63	12374.58	7709.01	23467.03	1648.36	56.99	194.95
四川	42103.39	41514.58	24234.79	17167.51	41529.25	2339.82	-56.51	338.15
贵州	11550.45	14319.98	9074.84	5238.94	11172.44	847.02	18.63	103.41
云南	10080.39	19474.18	12431.16	7031.04	10149.03	334.98	66.62	90.18
西藏	163.73	1110.65	550.52	554.21	171.82	16.94	0.56	2
陕西	21788.47	30828.91	17380.7	13368.89	21027.9	1589	70.87	175.01
甘肃	6527.42	12263.36	8076.14	4187.87	7850.29	72.68	-46.23	59.71
青海	2663.51	6143.77	4203.12	1937.98	2244.47	80.02	1.95	20.13
宁夏	3899.68	8521.18	5773.39	2745.6	3646.1	143.23	5.53	31.12
新疆	8105.79	19538.65	12525.08	7005.82	8300.96	386.59	32.02	71.57
