地区	工资	经营	财产	转移
 北京	19826.7	2021.7	1876.8	2765.0
 天津	13568.1	5334.6	921.6	3241.0
 河北	7454.1	4611.5	298.7	1666.5
 山西	5735.8	3075.2	192.9	2746.1
 内蒙古	2896.6	7180.7	520.4	3204.8
 辽宁	5644.8	6263.8	334.5	2413.2
 吉林	3521.5	7756.2	256.5	2213.9
 黑龙江	3009.1	7053.3	679.0	3062.2
 上海	19503.5	1753.2	1003.2	8114.8
 江苏	10221.6	6016.6	767.5	3839.3
 浙江	16898.4	6677.0	784.1	2942.9
 安徽	5058.0	5411.5	256.0	3270.5
 福建	8214.7	6705.6	322.5	2578.4
 江西	6121.0	5271.9	235.5	2831.6
 山东	6550.0	7193.6	429.0	2124.4
 河南	5335.6	4790.7	221.4	3483.0
 湖北	4886.8	6270.8	185.9	3634.2
 湖南	5769.3	4785.7	179.3	3358.2
 广东	8510.7	4432.7	448.9	3775.5
 广西	3691.4	5393.4	241.4	3108.6
 海南	5611.4	5806.1	253.7	2317.8
 重庆	4847.8	4812.9	334.8	3785.8
 四川	4311.0	5117.2	379.5	3523.7
 贵州	4276.2	3226.7	126.2	2086.9
 云南	3259.9	5599.0	187.2	1721.8
 西藏	3037.2	5888.9	427.2	2096.6
 陕西	4620.8	3508.0	196.6	2887.5
 甘肃	2534.7	3823.7	211.5	2234.1
 青海	3047.3	3904.6	463.1	2978.4
 宁夏	4547.8	4638.5	362.8	2158.5
 新疆	2945.2	6623.9	235.1	2170.3
