y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
11355.53,13.88,16074.14,227.03,11511.41,559.83,2036.9,574.4,725.76,2820.96,51173.8,16630.7,10894.2,9978.93
11670,13.32,16100,232.79,11863.67,542,2171,539.37,744,3010,53600,17194.03,11559,10737.8
12393,13.64,16000,251.98,12539.24,567,2356,580.14,766,3251,57300,17419.79,12426,12109.78
13556,13.84,16300,272,13101.48,657,2427,667.88,834,3186,59700,18352.2,12850,13146
14808.02,14.72,16395.87,303.29,15554.25,760.68,2696.3,787.96,914.37,3383.01,66103.99,20964.12,15163.4,16067.61
16540,15.5,16700,326.61,17084.6,850,3050.4,877.97,1033.15,3791,72500,23445.56,18236.6,19251.59
19105.75,18.35,16959.98,350.15,21366.68,983.58,3371.2,945.27,1133.56,3881.31,86208.11,27702.6,22233.6,24108.01
22033.09,21.23,17587.33,414.6,26830.99,1291.34,3928.9,1041.12,1334.7,4804.82,96681.99,37026.17,28291.1,31975.72
25002.6,23.5,18135.29,493.2,34375.19,1450.54,4544.7,1239.98,1421.08,5177.86,106884.79,40210.24,35324,37771.14
28657.26,25.29,18476.57,585.53,41245.19,1742.96,5033.2,1511.78,1560.03,5345.05,123676.48,46574.7,41914.9,46893.36
32815.53,26.92,18631.82,692.4,47651.63,2068.17,5412.6,1759.29,1765,5824.98,136117.25,53918.07,48928.8,56560.87
34957.61,28.02,19043.06,802.99,47824.42,2170.92,5098,1926.01,1854.6,6028.05,142355.73,59890.39,50305.8,60460.29
37146.51,29.73,18948.96,852.69,55283.46,2393.46,5960.9,1832.37,1944.77,6385.01,164397.78,58574.07,57218.2,69405.4
